0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,6,4,0,2,7,3,0,6,1,0,0,0,1,0,119252509.8856793,0.0,150968778.63873646,0.007620052630918965,59868659.36918789,0.0004669770324751175,8545291.618929861,0.0003222404636700154,25037214.086173728,0.0,847200000.0,656.7068189215322
1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,3,0,0,1,7,3,3,1,1,7,0,3,0,0,0,3,32694901.094161935,0.0,200792361.5595712,0.0,77892499.82878676,0.0,11699191.22540758,0.00014459836658183874,100556131.95482907,0.005758131380571581,1027900000.0,3504.2126388583483
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,3,3,1,1,4,1,0,0,1,5,1,171870126.99832004,0.0,146313026.62327898,0.032223686196495176,108445323.97511408,0.05312437689726553,13350304.68036899,0.002915931214614862,93596653.66320348,0.0,84600000.0,0.0
0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,7,7,1,0,0,0,1,6,4,0,0,6,0,0,0,206678445.68097684,0.0,38497246.70116999,0.027422036047353382,86175555.67869377,0.0,12586457.998778107,0.0,0.0,0.0,785300000.0,0.0
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,4,3,6,0,0,7,0,2,7,2,0,2,83584330.91324587,0.019257339151276767,191641198.67984647,0.0,34221561.73832255,0.0,29035803.379052583,0.002441715099579689,57073405.013273194,0.0,213300000.0,0.0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,7,3,0,0,0,6,0,0,0,0,0,1,2,173820755.1778444,0.0,47842699.56310011,0.0,56106152.79147943,0.033398067304088175,33451546.770648807,0.012678368994544607,100135924.58294562,0.031777549891675985,248500000.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,4,6,0,3,1,0,6,9,7,7,0,0,113429024.97505823,0.0,128904282.88717857,0.0,52536597.464779414,0.008147679941758653,58390904.922835335,0.0,44193513.54513965,0.0,340700000.0,0.0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,6,5,0,7,0,0,3,6,0,4,0,1,0,0,7,126745040.65873201,0.0,73315450.27094865,0.0,58926842.49039639,0.0,16925244.491970196,0.0,223563152.45657837,0.044316461282792916,176700000.0,4111.036868175614
1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,3,6,4,0,2,4,3,0,5,1,0,0,0,1,0,174191389.1976829,0.0,129624712.26980749,0.02116681286366379,56992472.2342966,0.0012971584235419932,8545291.618929861,0.0008951123990833761,25037214.086173728,0.0,847200000.0,0.0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,4,6,0,3,1,6,6,3,6,10,7,0,0,0,154002586.64038622,0.0,115343376.08328605,0.002141788112168035,106025710.87762618,0.0,61938240.38959241,0.0,28403882.736774098,0.002321470663517293,327000000.0,2379.394202724274
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3,0,5,5,3,0,0,5,4,1,1,0,1,5,3,101988088.03595176,0.0,116004983.79615441,0.0,84279873.3136506,0.003873506241367353,21095122.12984547,0.0004166929022087493,141249049.4289826,0.0033993497312745364,279200000.0,3156.2108917463747
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,1,0,3,0,0,0,1,0,9,72222705.9376919,0.0,135446607.42640793,0.06551034105808441,68855184.26419958,0.031850858320679756,7950439.762080675,0.0029982749133587224,79966167.72241855,0.0,340700000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,3,0,1,2,0,1,0,1,7,7,0,5,0,176837172.6879249,0.0,141213787.2980589,0.015042731125253025,176810689.36904398,0.07573960048980952,39858942.8874153,1.817687267706838e-05,48886906.16130919,0.0029716851493993748,84600000.0,3977.039942948376
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,6,0,4,0,3,0,5,1,0,0,1,53972506.18695759,0.0,90680486.94349003,0.002086455250182262,54082305.45306664,0.0,27673893.38433846,0.0003935303111446129,186563008.0024565,0.013313439491135379,284500000.0,9138.163745203476
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,0,1,5,5,1,5,2,1,0,3,0,1,5,60159697.130272105,0.001444300436345758,179866413.27785185,0.0008034296059404962,80379723.23987584,0.0006411094488790627,22540410.160186738,0.0004688375744069232,191376243.090221,0.013199822103793082,61400000.0,5698.705153756354
0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,7,3,0,0,0,0,2,6,0,0,0,1,3,0,158496200.4885197,0.0,38497246.70116999,0.009871932977047217,68244895.97294219,0.005957594064206175,0.0,0.0,56425877.743436806,0.0,1305500000.0,965.4770177269841
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,7,0,0,0,2,2,7,0,0,4,1,5,0,192314896.29996094,0.0,17974992.286403187,0.0018869840073191153,85020849.79796785,0.0,9695195.36216505,0.0,62967163.32200457,0.0,1962000000.0,592.4935930256179
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,1,2,6,0,4,2,1,0,2,7,4,127371533.55940168,0.009628669575638384,141177294.7602306,0.04173433033686991,63699598.27434066,0.0,14092235.304915495,0.0,120006261.460305,0.0,256100000.00000003,0.0
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,4,0,1,0,0,0,0,7,5,0,4,7,0,0,0,85246019.34861892,0.0,52857426.44507936,0.004495524288177949,84209253.62962273,0.0021679761016130633,27147563.658954997,4.925081350947527e-05,21801758.299279444,0.0017676673737367081,492600000.0,3718.678990762264
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,8,5,1,3,0,0,0,0,92648501.6727509,0.0,66045103.44010488,0.0,99672026.75179785,0.033398067304088175,17101255.76786608,0.0008194767467860493,255879619.88542068,0.1752684166105003,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,5,0,0,0,5,0,0,2,90090897.41358772,0.009628669575638384,127306650.16588467,0.089694503900417,61827394.72661025,0.015877075318162123,11295920.095091904,8.009372449322784e-05,51998690.60968463,0.01650936194110764,512200000.00000006,0.0
0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,2,5,1,0,0,0,0,0,72222705.9376919,0.0,77143757.66453922,0.02798336852451025,77504424.67437737,0.032981841357846924,10161240.19056974,0.0015222081745331017,235544107.60621536,0.1608007723044506,589200000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,1,7,2,0,7,0,3,0,42291505.65437629,0.0,138793589.47539383,0.03559516179129739,173195070.00590324,0.1575328648255842,22585050.269750636,0.0,51055841.23302278,0.014202575037079298,84600000.0,0.0
0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,3,2,7,0,0,0,2,2,2,7,0,0,0,1,3,3,110130504.5881955,0.0,81108520.25825715,0.0032649554520480027,85020849.79796785,0.0,1499327.3226047417,6.526002263199e-05,91143478.948996,0.0,1004800000.0,1642.6815986775682
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,2,2,0,0,0,0,3,0,2,1,3,95213987.28559849,0.0,138793589.47539383,0.004271419414955686,242203565.0567911,0.0389141271260085,15927995.046775814,0.00031809571000985653,87926234.28472883,0.0,0.0,10573.21917644944
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,6,3,1,7,0,2,0,1,0,0,0,0,6,125797238.44921103,0.0,174005821.0085956,0.0,58454977.63839482,0.0492232609425184,16142999.650918579,0.004087492446951346,202630766.30469528,0.11088604244314104,115300000.0,0.0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,6,2,0,0,2,6,0,4,0,0,0,1,7,7,142620835.55407643,0.0,81108520.25825715,0.027207962100400027,63699598.27434066,0.0,5705408.596043949,0.0021461814594631373,128563360.84755757,0.0,710400000.0,0.0
0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,4,7,0,0,0,0,1,0,3,1,7,0,4,0,162781975.58788604,0.0,22086591.620275244,0.01548526543924195,20299287.62732069,0.0,31757757.28158001,0.0,33377116.55719709,0.0,1623000000.0,0.0
0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,3,1,1,0,0,1,0,0,0,5,0,0,5,0,0,115851949.22904456,0.0,71467185.07106198,0.02371586376294592,46039882.3249764,0.0610521781527792,11068771.68625446,0.0,36676675.840294495,0.0,1172300000.0,0.0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2,2,6,7,0,0,0,3,0,0,0,0,4,6,7,8,191345561.7715347,0.0,17974992.286403187,0.0018869840073191153,24198032.45136138,0.0,9695195.36216505,0.0,169347710.3000788,0.0,1621300000.0,592.4935930256179
0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,2,3,0,0,1,6,3,32694901.094161935,0.0,139625302.61507025,0.01158223946385676,77150110.16221032,0.07416728365743888,8453407.696608048,0.0,134778522.02949822,0.02038942461240782,673800000.0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,3,5,0,0,7,6,1,0,0,0,0,88429031.37443781,0.0,138188948.73608398,0.017387127084852187,70495872.58422926,0.048839958042650455,20319063.206658736,0.0,222520373.4552471,0.1518960738586912,115300000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,2,0,3,0,7,0,3,86007194.43194778,0.009628669575638384,127306650.16588467,0.089694503900417,136860414.26105106,0.10429837948130448,15927995.046775814,0.002650797583415471,82593104.13074732,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,2,0,0,5,0,0,0,0,1,1,3,60159697.130272105,0.001444300436345758,73551870.6021238,0.0032767489644422235,40365352.903747834,0.0023162836107843425,31692313.195843883,0.0017859668345876305,83391212.35240729,0.0,30700000.0,2860.9657315360428
0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,3,0,0,1,0,7,0,0,0,0,112429465.54032746,0.0,98866399.4988449,0.004359717222651124,119039067.47439425,0.015869057372495363,14261651.781499248,0.0,26269396.15773789,0.0021353175649832194,935800000.0,6639.951586034436
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,3,0,7,0,4,0,0,3,0,0,2,68431284.04595357,0.006932642094459637,102494538.94270155,0.00046304089454927055,67626108.28683192,0.0,21518748.503653623,0.001797191486672299,219072471.58555338,0.04716824007791215,256100000.00000003,4986.119940598412
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,0,0,4,7,1,4,1,0,2,32694901.094161935,0.0,184206799.7895329,0.0,190321700.18778294,0.22012527611565708,34943616.700101204,0.0,62051900.638520546,0.005947894066525478,84600000.0,0.0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,3,6,3,5,0,0,7,6,0,0,0,1,5,96223098.04916811,0.0,204961830.25853902,0.0,82717465.49355839,0.06455843735612254,12586457.998778107,0.0,189368844.67026544,0.08660666786197248,146000000.0,0.0
0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,7,0,0,0,0,0,0,0,5,0,0,0,1,7,4,68139002.95605196,0.0,38497246.70116999,0.009871932977047217,60068532.4983355,0.014923276960607336,0.0,0.0,114411258.02531242,0.0,1267200000.0,1273.2412651609293
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3,0,1,5,0,1,4,0,0,5,50563092.57005775,0.0034663210472298187,146603971.04596668,0.00046304089454927055,171203325.30449587,0.058786964424758975,26225590.134654716,0.0012977835199980753,123736346.45185646,0.0213186350361617,0.0,4366.852432517455
0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,7,7,0,0,0,4,0,1,0,0,0,0,37255203.23710208,0.0,166071355.5283289,0.0,103527873.47744662,0.10354562813709806,6449403.155386893,5.0024248019482455e-05,14279681.424165525,0.009730156587466954,1057000000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,2,5,0,0,1,0,5,0,3,0,3,78027888.60616793,0.006932642094459637,207875623.52720356,0.0,223322840.79538926,0.0983593794886966,18908885.44042937,0.0010027718911550976,63921995.57957761,0.0,0.0,3709.443950819462
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,7,3,0,0,0,6,0,0,7,1,0,4,72991586.1888937,0.0023108806981532123,133844205.0086204,0.0,195202754.70381007,0.02638161004262508,29941879.289849073,0.0006685145941033984,59554855.274964996,0.0,0.0,7925.442679808019
0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,7,0,1,0,6,32694901.094161935,0.0,56649453.23592974,0.0015816375857668772,31821667.3122608,0.005076395233391777,17631288.875672676,0.00015446540466934955,82637400.01724368,0.001315141749286942,523300000.0,2752.3889784212397
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0,59410102.93073928,0.0,143225811.73417908,0.02317707518125761,6320800.309666242,0.0,50929971.20054293,0.0,205800000.0,4761.896427852525
0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,5,2,0,0,0,0,6,4,0,3,0,0,0,0,134088166.03671771,0.0,52857426.44507936,0.03746270240148292,77229353.65903684,0.018009708982774614,8453407.696608048,0.0,21801758.299279444,0.014730561447805901,1051100000.0,0.0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,3,0,1,4,0,0,1,32694901.094161935,0.0,73352230.61165866,0.009032613425546461,64873510.33412908,0.009406667007044855,17486462.873711236,0.00014775244052842577,59617902.72879878,0.008450952169245822,710400000.0,1840.6862454392053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,7,0,1,3,0,4,0,6,0,3,65716139.43735005,0.009628669575638384,194342742.03414834,0.0,166445762.22789705,0.16329712340210828,17535309.116339963,0.002785477475430827,77404471.7832109,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,3,1,5,0,0,3,0,0,0,2,0,1,136422954.7271911,0.0,161206121.93707404,0.0023085069297081578,194012433.8361516,0.22829646436967008,26962376.304678872,0.0098844681030512,54355764.74753119,0.0,84600000.0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,1,0,0,0,0,0,3,42291505.65437629,0.0,95806287.83478189,0.003589821512014442,219820470.37453267,0.032128171891636415,26087051.79382715,0.0011293605156203665,57388152.92740004,0.0021939024152925857,84600000.0,11124.987990885678
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,5,5,0,7,0,1,0,3,1,1,3,60159697.130272105,0.0011554403490766061,185462142.0962704,0.0011412772968449679,115910505.19534022,0.013128544951905154,19114442.360769562,0.00020453484253110416,94230779.70218408,0.0009026818806855871,0.0,4195.937205731678
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,4,0,0,0,0,0,2,0,0,0,0,47847947.961454235,0.0,140822678.00042614,0.0,143225811.73417908,0.06953122554377285,10300604.265720932,0.0003886730727053808,21801758.299279444,0.005303002121210125,205800000.0,2893.339833945747
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,7,4,7,3,0,0,0,3,3,1,5,7,0,0,3,227282139.96827656,0.0,47842699.56310011,0.0,75627988.26661496,0.004994453068894678,35902849.28843497,4.033791555833348e-05,205069602.77672815,0.017953081429295012,371400000.0,7346.176034243665
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,1,0,0,0,1,0,0,0.0,0.0,141067297.04924,0.011870184970026945,59903444.52010451,0.0,33421484.838982962,0.012658411136526578,59099197.82138212,0.023403532803265792,84600000.0,0.0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,1,0,0,0,0,1,0,0,3,0,0,0,0,120853849.86392611,0.0,74489586.25301021,0.052977301524742344,76066618.4377834,0.07467096528667966,8565408.684280228,3.900241717208967e-05,0.0,0.0,595100000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,6,0,0,0,1,3,0,4,0,6,0,2,135167654.02071536,0.0034663210472298187,66045103.44010488,0.0,166445762.22789705,0.058786964424758975,17535309.116339963,0.0010027718911550976,74011736.27191554,0.0,0.0,2273.041777124453
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,53604574.42768745,0.02888600872691515,101663403.29741429,0.017333449918905935,54141649.03676416,0.04369489823194063,18563729.86812477,0.006944286364310232,49948983.267067805,0.03387349001426672,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,7,3,5,0,3,7,0,3,0,2,0,0,72991586.1888937,0.0023108806981532123,216979080.5076381,0.0,113009873.21364276,0.008250321345250344,11421931.742807202,0.00012955769090179363,34936569.73241903,0.0006131832417235471,121200000.0,2652.0038323071185
0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,3,0,3,3,2,0,0,6,6,4,1,4,0,0,0,0,89068254.21950817,0.0,57934194.885186814,0.0013280500695647425,109326246.96952954,0.0,16347288.792964684,0.0,29462622.554752544,0.0023932138651149926,1313100000.0,2019.07444181434
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,5,0,7,0,1,0,0,0,0,7,0,0,66507014.9338145,0.0,146137633.1823734,0.0,73623705.82169107,0.07186904740554814,18699215.594588686,0.007034234173462771,44193513.54513965,0.0,369700000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,1,0,0,1,0,0,3,7,0,0,0,0,3,127371533.55940168,0.0011554403490766061,100445608.32496443,0.0052861211733516485,47331943.99763915,0.003706053777254947,14261651.781499248,0.0,142979773.37043086,0.009160763943227734,30700000.0,8920.305100097181
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,1,2,0,4,0,7,0,3,86007194.43194778,0.009628669575638384,65980212.99097401,0.01698891367358707,167586769.34866422,0.16772172874734573,17535309.116339963,0.002785477475430827,82593104.13074732,0.0,0.0,0.0
0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,6,5,2,0,1,5,0,6,0,0,0,3,0,0,1,180659118.0167573,0.0,120074966.4856174,0.014575185080494792,43894567.48209201,0.01654887240057271,8453407.696608048,0.0,31259808.74607321,0.004271826628866975,1220900000.0,0.0
